SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_78 11 1 8 32 5 6 45 28 7 13 4 5 0 3 5 5 51 7 30 33 8 14 13
OTU_79 6 0 1 1 0 0 0 0 3 4 5 43 19 28 36 38 13 40 14 12 2 46 18
OTU_80 7 15 9 20 2 1 41 19 0 3 1 4 0 1 3 2 62 42 37 37 17 32 10
OTU_81 7 0 1 7 2 1 13 8 8 7 8 68 41 47 89 18 71 38 49 69 27 137 54
OTU_82 2 1 1 1 0 0 0 1 2 2 3 54 19 16 34 6 3 31 8 2 0 3 5
OTU_83 2 0 1 1 0 0 0 0 1 2 2 20 53 5 20 0 1 2 0 3 1 4 1
OTU_84 13 11 7 80 5 0 39 8 3 5 6 6 2 10 19 5 15 4 7 22 7 25 11
OTU_85 2 3 6 14 4 2 15 9 1 5 5 2 0 3 2 5 15 21 10 29 10 65 41
OTU_86 30 0 1 3 0 0 2 2 2 4 4 14 10 9 24 10 4 32 14 8 8 13 6
OTU_87 3 1 3 14 2 0 4 4 1 3 0 15 4 14 7 1 10 0 12 34 9 35 10
OTU_88 12 6 3 29 0 1 74 12 8 1 4 73 35 39 72 29 5 13 11 13 5 11 8
OTU_89 12 12 9 43 9 4 52 39 5 4 4 15 3 7 12 43 68 23 48 56 25 52 13
OTU_90 13 4 4 22 6 2 36 20 2 5 7 30 8 18 19 23 42 32 49 63 47 45 28
