SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_490 1 1 1 2 0 1 1 1 2 20 38 1 0 0 0 0 1 0 0 1 0 1 0
OTU_491 0 3 0 4 1 0 0 0 2 40 25 0 0 0 1 0 0 0 0 0 1 0 1
OTU_492 1 0 1 0 0 0 1 0 0 1 0 4 1 4 2 12 0 2 6 4 0 1 0
OTU_493 3 5 3 7 3 1 3 0 28 11 19 4 2 2 2 6 1 3 0 0 1 0 1
OTU_494 1 2 0 29 2 0 0 1 1 1 0 0 0 0 1 0 4 5 3 0 0 10 0
OTU_495 0 0 0 0 0 0 0 2 61 12 34 0 0 0 0 1 0 0 0 0 0 0 0
OTU_496 4 4 2 22 6 2 24 12 0 0 1 7 2 0 4 5 7 12 9 10 5 13 6
OTU_497 4 1 3 10 2 1 23 6 1 1 2 2 1 1 4 0 7 0 3 14 6 10 5
OTU_498 8 0 0 3 0 0 0 0 1 0 1 2 3 2 4 2 6 11 8 10 15 8 3
OTU_499 12 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_500 0 3 3 5 4 2 14 4 22 21 7 2 0 0 1 0 0 0 0 0 0 0 0
OTU_501 6 3 3 7 0 0 0 0 0 0 1 11 5 2 3 0 2 3 5 1 0 0 0
OTU_502 3 2 1 23 2 1 26 8 2 0 2 5 3 1 2 2 12 10 9 6 4 10 5
OTU_503 3 0 1 2 0 1 2 0 1 0 2 8 0 3 6 12 11 13 17 2 5 16 3
OTU_504 1 1 2 0 0 0 1 0 0 0 0 2 1 2 1 1 3 2 2 5 2 5 3
OTU_505 11 0 0 0 1 0 2 1 0 2 1 6 6 2 7 8 0 10 0 5 5 2 1
OTU_506 2 1 0 4 1 0 10 5 2 3 7 41 8 23 39 11 13 15 31 23 11 24 5
OTU_507 14 1 2 8 5 1 10 6 1 3 2 19 7 14 20 20 14 18 16 9 5 25 3
OTU_508 1 0 3 8 2 2 20 9 0 2 1 1 0 1 1 1 13 3 12 16 4 16 1
OTU_509 7 1 1 5 0 2 11 5 0 0 1 12 4 11 6 9 7 8 2 8 3 14 3
OTU_510 29 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0
OTU_511 1 2 1 6 3 1 11 6 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0
OTU_512 0 1 2 10 0 0 5 1 0 1 0 0 2 1 1 2 7 1 5 7 3 5 4
OTU_513 0 0 0 0 0 0 0 0 0 1 0 1 0 2 3 13 0 13 0 0 0 0 0
OTU_514 0 0 1 2 0 1 14 4 0 0 0 0 0 1 1 4 6 9 4 12 8 7 1
OTU_515 7 0 0 5 0 0 4 0 1 1 1 10 7 6 11 8 10 9 5 7 3 7 4
OTU_516 2 1 0 2 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 5 3 4 1
OTU_517 0 0 1 2 0 0 2 1 0 0 0 8 1 3 4 10 0 7 4 5 0 0 2
OTU_518 4 3 1 6 4 1 22 14 5 4 26 15 6 14 17 37 14 5 15 11 0 12 6
OTU_519 3 1 1 12 2 2 1 2 1 0 1 0 0 1 1 2 8 7 6 23 5 22 8
OTU_520 1 0 0 2 0 1 23 12 0 0 1 1 0 0 0 3 0 0 0 0 0 0 0
OTU_521 2 1 1 11 5 2 42 15 1 1 1 2 2 0 1 1 11 15 12 1 2 4 0
OTU_522 1 1 0 3 0 0 0 1 56 24 33 0 0 0 0 0 0 1 0 1 0 0 0
OTU_523 1 0 0 0 1 0 0 0 3 22 26 1 0 0 0 0 0 0 0 0 0 0 0
OTU_524 3 0 0 5 0 0 3 3 0 0 0 5 0 1 1 1 0 1 1 2 1 0 0
OTU_525 1 0 0 0 0 1 3 3 2 2 0 4 2 5 3 3 15 8 9 2 1 2 2
OTU_526 0 0 0 1 0 0 0 1 0 0 0 5 4 0 9 1 7 12 7 4 1 1 0
OTU_527 3 0 0 0 0 0 0 1 1 0 1 11 5 5 9 14 5 7 5 4 0 2 0
OTU_528 0 0 0 4 0 0 3 5 1 1 0 9 3 5 11 9 0 11 0 1 0 2 2
OTU_529 1 4 1 16 2 0 8 6 1 1 1 0 0 3 2 1 3 4 5 16 1 23 5
OTU_530 3 0 0 0 0 0 0 0 1 0 2 18 4 5 24 4 0 1 0 0 0 2 0
OTU_531 3 0 0 3 0 0 0 0 1 0 0 14 3 8 9 3 3 9 2 4 2 1 5
OTU_532 3 2 2 1 1 0 2 8 1 2 1 2 0 2 3 0 2 0 3 0 2 0 0
OTU_533 2 0 0 1 0 0 0 1 1 0 1 14 2 5 11 20 11 17 7 2 3 7 3
OTU_534 0 2 0 11 1 2 24 13 2 0 1 0 0 2 0 2 5 2 4 12 4 2 0
OTU_535 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 9 2 4 2 0 0 5 1
OTU_536 0 1 1 2 0 0 1 1 0 0 1 0 0 0 1 5 3 13 6 2 1 0 0
OTU_537 0 0 1 3 0 0 3 1 0 0 2 2 4 2 2 0 2 6 2 4 1 3 1
OTU_538 2 3 2 0 2 2 13 5 0 1 0 1 1 1 3 1 1 2 3 11 3 7 5
OTU_539 0 1 0 4 1 0 10 7 0 0 0 1 0 0 0 1 2 1 0 6 2 0 0
OTU_540 3 0 0 1 1 0 2 1 2 0 1 22 5 12 13 2 0 0 1 0 1 1 2
OTU_541 0 0 0 1 1 1 11 6 0 0 1 1 0 0 1 6 1 11 4 0 0 0 0
OTU_542 1 0 0 2 0 0 1 1 0 0 1 2 4 3 2 7 3 3 2 1 0 1 3
OTU_543 0 1 0 4 0 2 8 2 1 0 0 0 0 0 0 0 6 1 1 2 0 15 4
OTU_544 3 0 1 1 0 0 1 1 1 1 1 8 4 7 5 6 1 4 4 0 0 0 3
OTU_545 0 0 0 1 1 0 9 7 0 0 0 2 0 0 0 0 5 3 10 4 2 10 1
OTU_546 8 0 0 0 0 0 0 0 0 0 1 25 6 13 34 7 3 5 1 8 0 3 3
OTU_547 13 5 4 3 0 1 2 10 0 2 1 1 2 3 1 5 2 3 3 3 2 2 2
OTU_548 1 0 1 0 0 0 0 0 1 2 1 16 2 4 9 0 0 1 2 1 1 1 0
OTU_549 0 0 1 1 0 1 0 1 1 0 0 4 4 1 4 0 1 5 1 0 0 3 0
OTU_550 0 0 1 0 0 0 0 0 2 0 0 9 3 7 8 0 0 0 0 0 0 1 0
OTU_551 0 0 0 1 1 0 0 1 0 0 1 8 0 3 12 10 0 3 0 1 0 0 1
OTU_552 4 4 0 11 3 0 14 5 0 0 0 6 0 4 6 11 9 6 7 13 7 18 7
OTU_553 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 10 0 5 14 4 0 0
OTU_554 1 0 0 3 0 1 1 0 1 0 1 10 5 2 10 1 1 1 0 0 0 0 0
OTU_555 2 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 5 0 15 3 1 2 1
OTU_557 0 0 1 1 0 0 0 0 19 19 46 0 0 0 0 0 0 0 0 0 0 0 2
OTU_558 0 14 7 27 7 0 4 8 9 26 22 1 0 1 1 0 0 0 0 3 0 0 0
OTU_559 0 0 0 4 2 4 9 3 1 0 2 1 0 0 0 0 11 2 6 6 4 8 2
OTU_560 4 0 0 3 0 0 0 0 0 1 0 9 1 5 0 2 2 1 1 4 8 3 1
OTU_562 1 3 1 11 4 1 11 8 12 28 20 0 0 0 3 2 1 3 3 1 5 8 2
OTU_563 0 0 0 0 0 0 1 0 0 1 0 12 4 10 18 0 0 5 1 1 0 4 4
OTU_564 6 0 0 3 1 0 0 0 0 0 0 2 0 1 3 0 0 0 1 1 1 1 0
OTU_565 2 0 0 1 0 0 0 0 0 0 1 10 4 1 5 6 3 6 2 6 4 7 1
OTU_566 4 3 1 2 0 0 0 2 1 0 0 3 1 1 6 1 1 1 1 0 0 1 1
OTU_567 0 4 3 20 1 0 0 0 1 0 12 1 0 0 0 0 0 0 0 0 0 1 0
OTU_568 8 0 2 16 1 0 11 7 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0
OTU_569 0 1 0 5 3 1 12 9 16 14 27 4 1 1 1 2 2 1 8 6 0 3 2
OTU_570 0 0 0 0 0 0 0 0 0 48 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_571 0 0 0 1 1 0 1 1 1 1 0 13 4 9 13 33 3 58 8 1 1 5 2
OTU_572 2 0 0 1 0 0 0 0 0 0 0 3 5 0 1 0 0 0 0 3 0 8 4
OTU_573 1 0 4 8 1 0 7 2 0 0 3 4 0 2 2 0 15 3 5 4 8 6 0
OTU_574 4 0 0 1 0 0 0 2 0 1 1 2 2 1 2 1 2 5 5 0 2 4 0
OTU_575 0 0 0 0 0 0 0 0 7 18 6 1 0 2 0 0 0 1 0 0 2 2 0
OTU_576 12 0 1 5 0 0 4 3 0 0 1 28 5 10 13 30 7 7 4 4 2 2 3
OTU_577 11 13 11 30 0 0 0 2 0 1 0 10 2 2 1 1 0 0 1 2 0 5 0
OTU_578 0 4 4 25 2 2 9 5 1 1 0 0 0 2 1 15 26 19 14 11 2 19 7
OTU_579 0 0 0 0 0 0 1 1 0 2 0 10 3 2 4 0 16 16 14 9 4 3 1
OTU_580 1 0 0 0 0 0 1 0 1 0 1 10 2 6 16 4 4 2 5 0 0 1 0
OTU_581 0 1 0 7 0 1 3 3 0 0 1 3 1 2 0 3 3 8 5 5 9 3 1
OTU_582 0 0 1 1 0 0 1 0 0 1 0 16 2 10 8 2 1 1 0 0 0 0 0
OTU_583 2 0 0 8 0 1 6 3 0 0 0 0 0 0 0 3 16 8 10 14 3 6 1
OTU_584 0 0 0 0 0 0 0 0 10 19 35 0 0 0 1 2 1 0 2 0 0 0 0
OTU_585 0 0 2 2 3 1 8 5 28 27 40 0 0 0 1 1 0 2 4 10 1 3 2
OTU_586 1 0 0 1 0 0 2 1 0 1 0 4 2 4 5 2 3 4 7 1 0 1 1
OTU_587 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 24 4 9 0 0 0 0
OTU_588 5 1 1 5 0 0 1 3 2 2 0 4 3 3 6 5 3 2 2 16 0 10 3
OTU_589 7 2 4 19 3 0 1 4 1 1 0 0 0 0 0 1 0 0 1 2 1 2 0
OTU_590 0 0 0 0 0 1 1 0 43 25 66 0 0 0 0 0 1 0 1 0 0 0 0
OTU_591 1 0 1 0 0 1 0 1 16 34 24 0 0 0 0 0 0 0 0 0 0 0 0
OTU_592 1 0 0 0 0 0 0 0 0 0 1 12 1 5 5 2 0 0 0 0 0 0 0
OTU_593 2 3 1 13 2 0 7 5 1 1 1 3 0 4 3 12 1 3 2 4 0 20 7
OTU_595 0 0 0 0 0 0 0 0 0 0 0 5 0 3 3 5 2 8 6 0 0 5 1
OTU_596 1 0 1 5 2 0 2 6 7 4 10 5 3 5 6 4 1 7 4 3 0 10 1
OTU_597 2 1 2 6 1 0 4 4 0 0 2 3 2 0 0 0 3 5 1 8 3 18 6
OTU_598 3 0 0 1 1 0 2 3 1 1 2 1 0 4 5 2 3 3 4 7 2 11 6
OTU_599 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 2 6 3 3 2 6 2
OTU_600 0 1 0 0 0 0 0 0 4 2 35 0 0 0 2 0 0 0 0 0 0 0 0
OTU_601 0 0 0 1 0 0 0 0 45 16 21 0 0 0 0 0 1 0 1 0 0 0 1
OTU_602 0 0 0 1 0 0 0 0 50 2 2 0 0 0 0 0 0 0 0 0 0 0 0
OTU_603 2 0 1 1 0 1 3 0 0 1 0 13 8 4 11 5 8 5 6 4 2 4 3
OTU_604 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 22 1 10 4 0 1 1
OTU_605 0 0 1 1 0 0 9 0 0 0 1 0 0 0 1 0 3 0 0 6 4 3 2
OTU_606 0 0 0 0 0 0 0 0 35 3 1 0 0 0 0 0 0 1 0 1 0 0 0
OTU_607 0 5 4 21 0 1 5 5 0 2 5 1 0 0 0 0 0 0 0 1 0 3 0
OTU_608 2 4 4 26 0 3 14 8 1 1 0 4 2 1 5 12 11 11 11 12 2 15 6
OTU_609 0 0 0 0 0 0 1 0 3 4 41 0 0 0 0 0 0 1 0 0 0 0 1
OTU_610 2 0 1 0 0 0 0 0 0 0 0 4 1 0 4 13 2 2 3 2 0 1 0
OTU_611 4 0 1 2 1 0 0 0 0 2 1 17 8 12 13 2 3 10 4 17 9 16 8
OTU_612 0 2 1 2 1 0 1 0 30 13 25 1 0 0 1 0 0 0 0 0 2 1 0
OTU_616 0 0 0 1 0 0 0 0 1 0 0 3 1 1 2 0 9 10 1 3 1 2 0
OTU_617 2 1 0 0 0 1 0 1 1 0 0 4 19 0 6 1 3 1 4 0 0 2 0
OTU_618 1 2 2 11 4 3 6 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0
OTU_619 4 0 0 0 0 0 1 1 0 0 1 5 4 2 4 0 0 2 0 0 0 0 1
OTU_620 0 0 0 2 0 0 2 1 0 0 1 7 3 6 4 2 0 4 1 19 2 14 4
OTU_621 1 1 0 0 0 0 2 2 0 0 0 3 0 1 0 5 0 1 4 4 1 1 2
OTU_622 1 0 1 0 0 0 0 0 0 0 0 0 3 2 0 2 1 10 0 1 0 5 1
OTU_623 1 0 0 1 0 1 2 0 0 0 1 13 1 7 12 17 0 10 5 0 0 4 0
OTU_624 3 0 0 0 0 0 0 0 1 0 1 12 4 6 15 37 0 11 0 1 0 2 1
OTU_625 0 0 2 3 1 3 7 3 0 0 0 0 0 0 0 0 6 0 6 10 0 0 0
OTU_626 1 1 4 11 5 0 24 4 15 1 18 2 1 0 1 4 0 1 2 9 2 6 3
OTU_627 5 1 1 1 0 0 0 1 0 0 2 12 3 10 16 5 2 7 1 2 0 3 0
OTU_628 0 1 0 1 1 0 0 0 0 0 0 9 2 2 5 1 0 0 0 0 0 0 1
OTU_630 0 0 3 8 1 0 15 7 2 0 2 6 2 3 2 3 14 12 9 12 26 29 7
OTU_631 0 0 0 1 0 1 0 0 0 0 1 7 1 3 4 2 0 5 0 0 0 1 0
OTU_632 0 3 3 8 1 0 2 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0
OTU_633 0 6 2 23 4 0 6 4 0 0 0 0 0 0 0 0 1 1 1 2 1 5 0
OTU_634 4 10 7 36 2 1 26 14 10 10 17 11 3 7 4 16 16 18 11 13 3 13 3
OTU_636 2 5 2 16 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0
OTU_637 2 1 1 0 0 0 2 2 0 0 0 1 2 2 5 5 1 2 3 6 4 4 1
OTU_638 1 1 0 0 2 1 3 0 0 0 0 0 0 0 0 1 0 1 0 5 0 5 4
OTU_639 2 1 0 1 0 0 4 1 2 0 0 0 0 0 0 1 1 1 0 4 1 3 2
OTU_640 1 3 2 11 1 0 1 0 0 0 0 0 0 0 0 0 2 2 0 1 0 0 0
OTU_641 1 0 0 0 0 0 0 0 10 5 31 1 0 0 1 0 0 0 0 0 0 0 0
OTU_642 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 4 4 5 2 1 2 4
OTU_643 0 0 0 1 0 0 1 1 0 1 1 11 2 7 7 1 1 3 0 1 0 1 0
OTU_644 0 0 0 4 1 2 3 8 1 0 1 5 0 0 6 5 13 20 15 18 11 8 3
OTU_645 3 1 1 0 0 0 2 0 0 0 0 7 1 2 8 3 0 11 6 0 0 2 0
OTU_646 31 11 15 58 14 4 36 16 5 3 7 50 25 26 31 18 36 40 21 79 32 59 28
OTU_647 0 0 0 1 0 0 0 0 0 0 1 10 2 0 11 2 0 1 1 0 0 0 0
OTU_648 2 0 0 1 0 0 0 1 0 0 0 6 4 5 5 1 4 4 3 0 0 0 0
OTU_649 4 1 1 6 1 1 5 3 2 1 4 9 1 2 5 3 4 6 7 8 1 12 1
OTU_650 5 5 3 16 15 3 42 19 2 3 2 8 2 4 14 4 14 7 14 23 12 25 10
OTU_651 1 0 0 2 0 0 3 0 0 1 3 4 3 0 4 4 9 5 6 5 0 5 3
OTU_652 3 0 0 0 1 0 1 1 1 1 0 8 3 4 7 12 6 10 5 3 0 0 0
OTU_653 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 12 0 0 0 0
OTU_654 2 1 0 8 2 0 26 12 0 1 0 1 1 1 1 4 1 1 3 7 4 4 1
OTU_655 2 0 0 5 0 0 0 1 1 2 1 0 0 0 0 2 11 9 17 3 6 15 0
OTU_656 1 0 0 0 0 0 0 1 0 2 1 6 1 3 3 6 11 10 8 2 6 6 3
OTU_657 3 0 2 3 1 1 2 10 4 7 2 5 0 7 6 4 3 4 3 4 0 7 2
OTU_658 1 0 0 2 2 0 2 5 0 0 1 0 0 0 0 0 2 2 3 2 0 6 0
OTU_659 0 0 0 2 0 0 6 2 0 0 1 2 2 1 2 2 2 5 9 2 2 2 0
OTU_661 2 1 0 2 0 0 0 0 0 0 0 5 3 4 1 0 0 1 0 0 0 3 0
OTU_662 0 1 0 1 0 0 1 1 0 0 0 5 1 2 6 6 2 6 6 18 2 3 1
OTU_664 1 0 0 0 0 0 0 2 0 0 1 3 1 3 2 21 0 3 0 0 0 2 0
OTU_665 0 0 0 0 0 0 0 0 16 33 35 0 0 0 1 0 0 0 0 0 1 0 1
OTU_666 4 0 1 1 0 0 10 5 1 1 2 13 1 10 10 9 1 11 8 46 12 7 7
OTU_667 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0 5 7 5 2 2 2 0
OTU_668 2 5 4 20 1 0 12 9 6 5 9 0 1 0 0 1 1 3 2 4 1 8 2
OTU_669 0 0 0 1 0 0 0 2 0 0 0 3 12 0 0 2 0 0 1 1 0 0 0
OTU_670 1 0 0 0 1 1 1 9 18 11 24 0 0 0 2 0 0 1 0 1 0 3 1
OTU_671 1 1 1 12 2 3 12 7 1 0 0 1 1 2 1 1 4 2 1 2 1 0 0
OTU_672 1 1 0 1 0 0 3 0 25 24 58 2 0 0 0 0 0 0 0 1 0 4 0
OTU_673 2 3 1 3 4 2 18 5 0 5 7 4 0 1 2 1 2 3 2 3 1 6 3
OTU_674 1 3 1 5 2 0 16 13 17 20 45 0 0 1 0 1 7 1 3 1 0 0 0
OTU_675 0 1 0 0 0 0 0 0 3 21 62 0 0 0 0 0 0 0 1 1 0 1 0
OTU_676 0 1 0 2 0 0 1 2 0 0 1 4 1 4 3 5 6 10 6 3 2 1 2
OTU_677 3 6 3 20 3 3 21 11 7 10 7 7 1 3 3 3 4 1 3 8 4 8 4
OTU_680 2 0 0 0 0 0 2 3 1 0 0 3 1 4 4 14 0 5 0 4 1 6 2
OTU_681 0 0 0 7 0 0 0 1 0 0 1 2 0 1 4 0 12 1 4 2 2 6 1
OTU_682 1 0 0 1 0 0 0 1 2 0 1 7 3 2 7 13 2 8 2 0 0 6 1
OTU_683 2 0 0 0 0 0 0 0 0 0 0 9 3 4 11 3 0 5 2 4 0 4 2
OTU_684 2 0 0 1 0 1 3 0 0 0 1 4 1 2 3 5 2 5 2 11 4 9 5
OTU_685 3 0 0 8 1 1 7 12 18 5 33 8 2 3 6 11 4 0 1 17 13 11 14
OTU_686 4 3 5 6 0 5 19 6 0 4 23 3 1 1 4 7 8 6 5 0 1 1 0
OTU_687 0 0 0 0 1 0 0 0 0 0 0 19 2 5 13 0 0 10 3 1 2 15 1
OTU_688 4 1 3 12 7 0 6 6 0 0 1 1 0 1 2 2 0 1 1 21 6 3 2
OTU_690 3 1 0 3 0 0 2 1 0 0 1 6 3 3 2 2 11 11 7 9 9 16 14
OTU_691 0 0 0 0 0 0 0 0 1 0 1 7 5 4 5 0 0 0 0 0 0 0 0
OTU_693 0 0 0 0 0 0 0 0 0 0 0 7 3 4 9 0 0 3 1 0 0 6 3
OTU_694 0 0 1 0 0 0 0 0 21 13 21 0 0 0 0 0 0 0 0 0 0 0 0
OTU_696 2 3 2 15 0 0 1 0 2 1 0 2 0 2 0 2 1 0 0 2 0 0 0
OTU_697 0 5 0 13 4 1 4 5 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0
OTU_699 3 1 0 3 0 0 2 0 4 5 4 3 2 3 4 1 0 2 0 4 0 3 2
OTU_700 0 0 1 0 1 0 0 1 0 0 0 2 1 0 0 1 1 3 0 7 1 7 1
OTU_701 2 0 1 0 0 0 0 1 1 0 0 3 1 0 1 1 2 5 1 0 1 11 2
OTU_702 5 4 3 3 2 0 8 1 0 0 0 8 6 2 4 3 2 1 5 4 3 1 0
OTU_703 7 3 0 6 2 0 27 11 1 2 2 10 3 5 8 13 9 7 24 13 3 10 5
OTU_704 5 3 1 4 4 0 6 0 1 1 1 1 0 4 4 1 1 0 0 1 1 0 0
OTU_705 0 1 1 0 0 2 3 2 16 16 24 1 0 0 0 0 0 0 0 0 0 0 0
OTU_706 1 0 0 0 0 0 2 0 0 0 0 7 0 2 0 2 5 4 3 7 3 5 1
OTU_707 0 0 1 1 0 0 6 3 0 1 0 0 0 2 0 3 5 5 3 7 5 11 3
OTU_708 1 0 0 2 0 0 1 1 0 0 1 12 0 4 9 3 3 9 6 6 7 13 2
OTU_709 6 0 1 0 0 0 0 0 3 2 1 15 5 11 7 7 2 10 0 4 1 2 2
OTU_710 1 1 2 1 1 1 2 0 1 1 1 16 2 2 5 5 6 1 3 8 1 6 2
OTU_711 5 4 4 5 7 0 8 6 1 0 2 9 0 2 8 15 17 6 12 23 9 25 8
OTU_712 2 0 0 0 0 0 1 0 1 0 1 9 3 7 4 6 1 4 4 4 2 4 1
OTU_713 3 0 1 1 1 0 2 1 0 0 0 0 0 0 0 0 3 6 5 1 1 19 1
OTU_714 0 0 0 1 0 0 1 0 18 9 18 0 0 0 0 0 0 0 0 0 0 1 0
OTU_715 4 3 1 12 2 1 15 5 0 0 0 5 0 3 2 10 5 8 4 1 0 0 0
OTU_716 2 1 1 3 1 0 11 2 0 0 0 0 0 0 0 1 2 0 1 1 0 0 1
OTU_717 5 1 1 3 0 0 4 0 0 0 3 0 0 0 0 4 1 3 0 0 0 1 0
OTU_718 3 0 0 6 0 0 4 1 0 1 0 26 12 10 32 9 0 1 0 2 2 2 6
OTU_720 0 2 0 6 3 2 6 3 0 3 0 1 2 0 0 1 0 1 1 2 3 0 1
OTU_721 0 1 0 4 1 1 4 8 0 1 0 3 0 0 1 0 0 4 2 6 3 10 7
OTU_722 1 1 0 4 0 0 2 1 0 1 0 3 4 3 11 1 10 16 7 5 5 11 2
OTU_723 2 3 4 10 0 0 0 0 0 0 1 1 0 0 3 0 1 35 0 0 0 3 0
OTU_724 3 1 0 0 3 0 3 2 0 0 0 0 0 0 0 1 1 1 1 2 0 6 0
OTU_725 0 0 0 0 0 0 0 0 14 2 44 1 0 0 0 0 0 0 0 0 0 1 0
OTU_727 1 0 0 1 0 0 0 0 1 0 1 11 4 4 2 3 0 1 0 0 0 0 1
OTU_728 3 2 0 3 0 0 0 1 0 0 1 0 0 0 1 2 2 3 4 15 7 10 4
OTU_729 2 0 0 0 0 0 0 0 0 1 0 1 0 2 1 4 8 8 5 11 4 13 3
OTU_730 2 1 1 9 2 0 1 1 0 1 0 3 0 0 1 0 1 3 3 4 1 4 0
OTU_731 0 0 0 0 0 0 1 2 2 0 0 1 0 0 1 0 0 2 0 15 1 5 2
OTU_732 0 3 0 8 3 0 1 2 0 0 0 1 0 0 1 1 1 0 1 0 0 1 2
OTU_733 1 1 3 4 0 0 0 0 6 25 12 0 0 0 0 0 0 0 0 1 0 1 0
OTU_734 0 0 0 2 0 0 4 1 1 0 2 19 6 9 20 5 6 7 4 15 9 8 3
OTU_736 4 0 0 2 0 0 0 0 0 0 1 7 3 5 7 6 0 2 4 1 3 5 4
OTU_738 3 1 0 3 2 1 8 2 0 1 1 1 0 1 1 1 2 2 6 4 1 8 1
OTU_740 0 0 0 1 0 0 1 0 0 0 0 7 3 6 12 8 2 11 4 2 0 7 2
OTU_741 0 1 3 5 2 1 9 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_742 0 2 0 8 0 0 9 2 4 3 9 0 0 5 0 3 2 4 0 6 1 4 1
OTU_743 0 0 0 0 0 0 1 0 0 0 0 1 1 2 0 8 1 1 3 4 2 3 1
OTU_744 1 3 2 5 1 2 7 6 0 0 0 0 2 1 1 3 6 1 0 5 0 10 1
OTU_745 0 0 0 1 0 0 0 0 0 0 0 2 2 1 2 16 1 0 0 0 0 0 0
OTU_747 9 0 0 12 0 0 0 0 0 1 0 2 0 0 0 1 4 5 3 0 0 4 0
OTU_748 0 0 0 1 0 0 0 0 0 0 0 3 3 4 12 0 2 11 4 7 3 4 1
OTU_749 2 3 2 6 2 0 8 4 2 0 1 2 0 1 2 0 3 0 1 1 1 3 1
OTU_750 0 0 0 0 0 0 1 1 0 2 0 0 1 1 0 0 1 1 2 13 7 1 0
OTU_751 3 0 0 2 0 0 0 0 0 0 0 12 1 4 5 0 1 4 3 2 3 3 0
OTU_754 1 0 1 2 2 1 4 2 0 0 0 0 1 1 1 9 0 3 5 8 0 11 0
OTU_755 2 5 2 6 0 1 4 3 0 0 1 0 0 1 0 0 3 1 1 1 0 1 0
OTU_756 5 1 1 9 2 0 16 13 0 0 0 0 0 2 1 8 12 10 12 31 14 24 6
OTU_757 0 0 0 1 0 1 5 2 0 2 15 1 0 0 0 1 0 0 0 4 5 3 3
OTU_758 3 0 0 1 0 1 0 1 1 0 2 1 0 1 4 3 1 3 1 1 0 0 6
OTU_759 0 0 0 1 0 0 1 0 12 14 9 1 0 0 0 0 0 0 0 0 0 0 0
OTU_760 1 0 2 1 0 0 6 1 17 3 19 0 0 0 1 0 0 0 0 2 0 3 0
OTU_762 0 0 0 0 0 0 0 0 0 0 0 8 4 8 14 0 0 2 0 0 1 1 0
OTU_763 0 0 0 1 1 1 1 1 0 0 0 8 2 2 4 5 8 9 2 2 2 10 2
OTU_764 1 0 0 0 0 0 0 2 0 0 0 16 3 8 21 0 2 9 4 3 0 6 3
OTU_765 3 1 4 10 2 4 22 14 3 0 0 7 4 4 3 3 13 12 7 0 0 4 0
OTU_767 0 0 0 1 0 1 0 0 0 0 0 1 0 1 3 0 4 2 2 5 1 9 3
OTU_768 0 0 0 0 0 0 0 0 0 0 0 5 0 4 2 12 7 5 4 1 0 0 1
OTU_770 0 0 2 5 0 1 5 2 0 0 0 0 0 0 0 0 7 5 2 3 3 2 1
OTU_772 2 1 1 10 1 1 2 6 4 4 7 4 2 4 11 3 0 5 4 2 0 8 2
OTU_774 6 2 2 8 1 0 5 4 3 6 2 12 5 4 8 5 10 4 5 13 3 15 3
OTU_775 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 27 1 4 2 1 0 1 0
OTU_776 0 0 0 0 0 0 0 0 0 1 0 3 2 4 4 4 1 3 4 0 0 4 0
OTU_777 6 1 3 20 0 0 0 2 0 0 0 8 0 3 9 3 3 4 5 1 7 3 0
OTU_778 2 0 0 0 0 1 0 0 0 1 0 7 0 5 4 0 1 6 1 0 0 1 1
OTU_779 0 0 0 0 0 0 0 0 0 0 0 10 1 2 11 0 0 0 0 0 0 2 2
OTU_780 1 3 3 14 2 0 4 1 0 2 0 1 0 2 0 0 2 4 1 1 1 1 0
