SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_82 0 0 0 1 2 0 0 0 0 0 1 1 0 0 8 1 0 0 0 6 26 60 13
OTU_83 0 0 0 0 0 11 56 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1
OTU_84 3 0 0 1 1 0 12 0 0 0 0 1 0 1 2 16 52 1 10 1 0 0 1
OTU_85 2 0 0 1 0 0 0 0 0 1 0 3 0 4 6 62 6 5 4 0 0 1 2
OTU_86 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 120 0 1 1
OTU_87 8 3 2 9 1 0 0 0 0 0 1 24 10 1 20 0 1 0 50 1 0 4 2
OTU_88 1 0 0 1 1 2 0 1 0 0 2 5 3 3 21 24 18 38 4 0 0 1 0
OTU_89 0 1 0 1 0 0 0 0 0 1 1 0 0 0 8 0 0 1 0 0 1 48 18
OTU_90 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 1 4 5 17 36
OTU_91 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 176 0 1 0
OTU_92 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 71 0 0
OTU_93 1 2 1 0 1 0 0 14 0 0 0 0 0 0 1 36 29 8 24 0 1 0 0
