SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_527 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 3 4 13 0 0 1 0
OTU_528 0 0 2 1 1 1 1 0 0 0 0 0 0 0 0 1 8 0 0 1 0 0 0
OTU_531 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 6 0 1 1
OTU_534 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 8 1 0 0
OTU_535 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 4 0 0 0 1 0 0 0
OTU_537 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 28 0 0 1 0 0 0 0
OTU_539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 6 0 0 0 0
OTU_540 0 0 0 0 0 0 0 0 0 0 0 1 1 0 7 11 0 1 4 1 0 0 0
OTU_542 5 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_543 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_544 0 6 2 25 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
OTU_545 4 0 1 0 1 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0
OTU_546 0 0 0 0 0 0 0 0 1 14 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_548 0 6 4 6 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
OTU_549 0 0 1 3 12 3 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
OTU_550 1 0 0 0 1 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 11 0 0 0 0
OTU_554 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0
OTU_556 0 0 0 0 2 1 2 6 0 0 0 0 0 0 0 1 8 2 3 0 0 0 0
OTU_557 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 8 4 1
OTU_558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0
OTU_559 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 0 3 8 0 0
OTU_560 3 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0
OTU_561 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 6 3 0 0 0 0 0
OTU_562 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 6 3 9 5
OTU_565 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 3 0 0 0 0
OTU_566 0 3 5 9 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_567 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_568 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 0 3 0 1
OTU_569 0 0 4 16 13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
OTU_570 0 0 0 0 0 0 0 0 2 1 8 0 0 0 0 0 0 0 0 0 0 0 0
OTU_571 1 0 1 0 7 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_572 0 2 0 8 9 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_574 0 0 0 0 0 0 0 0 1 0 6 0 0 0 1 0 0 1 0 0 0 0 0
OTU_576 0 0 0 0 0 0 0 0 0 0 0 21 2 0 1 0 0 0 0 0 0 0 0
OTU_577 1 1 0 0 0 0 1 0 0 0 0 0 0 45 0 0 0 1 0 1 0 0 0
OTU_578 0 0 0 0 0 0 0 0 0 0 0 4 7 2 3 0 0 0 0 0 0 0 0
OTU_581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 21 0 0 0 0 0
OTU_582 2 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
OTU_583 1 0 0 0 0 0 5 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
OTU_584 0 0 0 0 0 0 0 0 0 27 1 0 0 0 0 0 0 0 0 0 0 0 0
OTU_585 0 1 3 9 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_587 0 0 1 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
OTU_588 0 2 1 9 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
OTU_589 0 0 1 1 3 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_590 0 9 12 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_591 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_592 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 2 0 0 0 0 0 0
OTU_593 4 1 0 7 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
OTU_597 4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
OTU_598 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 4 6 3 2 2 3 0 2
OTU_599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 12 0 0
OTU_600 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0 3 2 3 1
OTU_603 0 0 0 0 0 0 0 0 1 0 0 0 0 0 25 0 0 0 0 0 0 0 0
OTU_604 0 0 0 0 0 0 0 0 0 0 0 5 6 0 2 0 0 1 0 0 0 0 0
OTU_605 0 0 0 0 0 0 1 0 0 0 0 1 2 2 3 0 0 0 3 0 1 0 0
OTU_606 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 3 1 0 2 0 2 0
OTU_607 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0
OTU_608 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
OTU_610 1 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_611 0 2 4 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_614 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1
OTU_615 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 4 1 0
OTU_616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 4
OTU_619 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 1 0 0 0 0 0 0 0
OTU_621 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 19 1 6 0 0 0 0 0
OTU_623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 3 3 0 0 0 0 0
OTU_624 0 0 0 0 5 2 1 0 0 0 1 0 0 0 0 3 0 1 0 0 0 0 0
OTU_625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 11 2 0 0
OTU_626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 14 1 0
OTU_627 0 0 0 0 0 0 1 0 0 0 0 2 3 1 0 0 0 0 0 6 11 5 11
OTU_629 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
OTU_630 1 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_632 0 1 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_633 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0
OTU_634 0 0 0 0 0 0 0 0 0 1 1 4 1 6 9 2 0 0 1 0 0 0 0
OTU_636 0 1 1 1 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_640 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 8 0 6 0
OTU_641 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 6 8
OTU_643 1 0 0 1 0 0 1 0 0 0 0 2 0 0 1 3 0 0 0 0 0 0 1
OTU_644 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 3 0 0 0
OTU_645 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 1 1 0
OTU_647 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 9 1 0 0 0
OTU_648 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 6 1 12 0 0 0 0
OTU_649 0 1 0 0 0 0 0 0 0 0 0 8 1 0 5 0 0 0 0 0 0 0 0
OTU_650 0 0 0 0 0 0 0 1 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0
OTU_654 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 17 0 0
OTU_655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 14 0
OTU_656 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 0 0
OTU_657 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 2 0
OTU_659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 2 1 6
OTU_661 0 2 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0
OTU_662 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0
OTU_663 0 2 3 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_664 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_665 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_666 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_667 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_669 0 0 0 0 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0
OTU_674 0 1 0 0 0 1 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 5 1
OTU_678 0 0 0 0 0 0 0 0 0 0 0 1 0 4 5 0 0 0 0 0 0 0 0
OTU_679 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 2 2 1 0 0 0
OTU_684 0 0 0 0 0 0 0 0 0 0 0 4 2 0 3 1 0 0 0 0 0 0 0
OTU_685 0 1 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0
OTU_686 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 15 0 0 0 0 0 0 0
OTU_687 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 3 2 3 0 3 1 0
OTU_688 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 1 2 0
OTU_689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 10 0
OTU_690 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 2 0 0 0 0 0 0 0
OTU_691 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 5 1 1 0 0 0 0
OTU_693 3 0 0 0 0 0 1 0 0 1 0 0 1 0 0 3 3 1 1 0 1 3 1
OTU_695 0 0 1 1 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
OTU_698 0 0 0 0 0 1 4 3 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0
OTU_699 1 0 0 0 1 3 2 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
OTU_700 0 0 0 0 0 0 0 1 0 2 5 0 0 0 0 0 0 1 0 0 0 0 0
OTU_702 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_704 0 0 0 0 0 0 0 0 6 0 2 0 0 0 0 0 0 0 0 0 0 0 0
OTU_705 0 0 0 1 0 0 0 0 0 0 0 0 18 1 0 1 0 0 0 0 0 0 0
OTU_707 0 0 0 0 1 0 1 0 0 0 0 1 0 2 14 0 0 1 0 0 0 0 0
OTU_711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0
OTU_712 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 10 1 0 0 0 0 0
OTU_715 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 30 0 0
OTU_719 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 8 6 3 1
OTU_720 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 3
OTU_721 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 9 0 1 0 0 1 0 0
OTU_722 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 10 0 6 0 0 0 0 0
OTU_723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 4 0 0 0 0
OTU_726 0 0 0 0 0 0 0 0 0 0 0 10 0 5 0 6 1 0 2 0 0 0 0
OTU_727 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 4 0
OTU_729 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 9 0 2 2 0 0 0 0
OTU_731 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 1 6 6 0
OTU_732 1 0 0 0 1 0 1 0 0 0 1 3 0 0 3 1 0 0 1 2 4 1 2
OTU_733 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0
OTU_734 0 0 0 0 0 0 0 0 0 0 0 7 1 1 0 0 0 0 0 0 1 2 0
OTU_735 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 0 0 1 1 0 0 0 1
OTU_736 0 0 0 0 0 0 0 0 0 0 0 2 3 2 0 0 0 0 0 0 0 0 0
OTU_737 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 2 0
OTU_739 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 6 3 5 3
OTU_742 0 1 2 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_743 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
OTU_744 2 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_746 0 0 0 0 4 0 7 6 0 0 0 0 0 0 1 0 15 0 4 1 0 0 0
OTU_747 0 1 3 3 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
OTU_748 0 0 0 2 1 0 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
OTU_749 0 0 1 0 1 0 6 10 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_750 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 1
OTU_752 0 2 1 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_753 0 0 0 1 1 0 2 2 0 0 0 0 0 0 0 0 3 1 4 0 0 1 0
OTU_755 0 0 0 0 0 0 0 0 0 0 0 6 2 2 6 0 0 0 0 0 0 0 0
OTU_757 0 0 0 0 1 0 0 0 0 0 0 1 2 0 7 6 0 4 0 0 0 0 0
OTU_758 0 0 0 1 0 0 0 0 0 0 0 1 0 5 2 0 0 0 0 0 0 0 1
OTU_759 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 2 3 1 0 0 0 0
OTU_760 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 5 0 1
OTU_761 1 0 0 1 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0
OTU_762 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 14 1 0 0 0 0 0 0
OTU_763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0
OTU_764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 1
OTU_765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 9 0
OTU_769 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 3 0 7 0 0 0 0 0
OTU_771 0 0 0 0 0 0 0 0 0 0 0 0 0 3 12 0 1 0 1 0 0 1 1
OTU_772 0 0 0 0 0 0 0 0 0 0 0 1 0 0 8 4 0 0 0 0 0 0 0
OTU_773 0 0 0 0 0 0 0 0 0 0 0 4 0 0 25 0 0 0 0 0 0 0 0
OTU_775 0 0 0 0 0 0 0 0 0 0 0 3 0 0 5 0 0 0 0 0 0 0 0
OTU_776 0 0 0 0 0 0 0 0 0 0 0 1 2 3 3 0 0 0 0 0 0 0 0
OTU_777 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 2 0 1 0 0
OTU_778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0
OTU_779 1 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_780 0 0 0 0 0 0 0 0 0 0 0 1 0 2 9 0 0 0 0 0 0 0 0
OTU_785 0 1 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_786 0 2 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_788 0 0 1 0 4 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_789 0 5 4 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
OTU_790 0 1 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_791 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_792 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_793 0 0 0 0 0 0 0 0 5 1 6 0 0 0 0 0 0 0 0 0 0 0 0
OTU_795 0 2 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_797 0 2 4 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_800 0 0 0 0 1 1 1 0 0 0 0 3 1 3 2 0 1 0 0 0 0 0 0
OTU_802 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 10 1 0 0 0 0 0
OTU_804 1 0 0 5 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
OTU_805 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0
OTU_806 0 0 0 0 0 0 0 0 0 0 0 2 4 2 3 0 0 0 3 3 0 0 0
OTU_808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 6 2 2 0
OTU_809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0
OTU_811 1 0 0 0 0 0 0 0 0 0 0 5 0 4 3 0 1 0 0 0 0 0 0
OTU_813 0 0 0 0 0 0 0 0 0 0 0 2 0 0 18 0 0 0 0 0 0 0 0
OTU_815 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 11 2 0 0 1 0
OTU_817 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 1 0 0
OTU_818 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 5 1 0
OTU_819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 4 1 2 1
OTU_820 5 1 0 0 1 0 0 0 0 0 0 3 0 1 5 0 0 1 0 0 0 0 0
OTU_822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 3 0 0 0 0
OTU_823 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 9 0 0 0 0
OTU_835 0 1 1 9 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
OTU_837 0 2 5 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
OTU_838 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
OTU_839 2 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 0 0
OTU_841 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_844 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 2 4 0 0 0 0 0
OTU_845 0 0 0 0 4 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
OTU_849 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
OTU_852 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 1 0 0 0 1 0 0 0
OTU_856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 4 0 0 0
OTU_858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0
OTU_860 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0
OTU_861 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0 0 0 0 0 0 0 0
OTU_862 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0
OTU_863 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 4 2 0
OTU_864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 14 0 0 0 0
OTU_865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0
OTU_866 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 19 1 0 0 0 0
OTU_867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0
OTU_868 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 3
OTU_870 0 0 0 0 0 0 0 0 0 0 0 7 1 4 1 0 0 0 0 0 0 0 0
OTU_876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0
OTU_877 0 0 0 0 1 0 0 0 0 0 0 2 2 0 3 0 0 0 0 0 1 0 0
OTU_881 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 2 2 3 3 1 0
OTU_882 2 0 2 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0
OTU_885 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
OTU_888 0 1 0 4 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_890 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0 0 0
OTU_891 0 6 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_892 0 0 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_893 1 0 1 7 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
OTU_895 3 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_896 0 0 0 0 4 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_897 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 1 2
OTU_898 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0
OTU_899 0 0 0 0 2 3 10 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_903 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_909 0 0 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
OTU_910 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_911 0 0 0 0 0 0 0 0 0 5 10 0 0 0 0 0 0 0 0 0 1 0 0
OTU_913 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 1 0 0 0 0 0 0 0
OTU_915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
OTU_925 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 2 0 0 1
OTU_926 0 0 0 0 0 0 0 0 0 0 0 2 1 1 3 2 2 2 0 0 0 0 0
OTU_927 1 0 0 0 0 0 0 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0
OTU_928 3 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_929 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
OTU_932 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 6 0 0 0 0 0 0 0
OTU_933 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 1 0 0 0
OTU_934 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 9 0 0 1 0
OTU_937 0 0 1 0 0 0 0 0 0 0 0 4 2 1 6 2 0 0 0 0 0 0 0
OTU_938 0 0 0 0 0 0 0 0 0 0 0 9 0 11 0 0 0 0 5 0 0 0 0
OTU_939 0 0 0 0 0 0 0 1 0 0 0 2 0 1 5 0 0 0 0 0 0 0 0
OTU_940 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0
OTU_941 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 1 0 1 0 0 0 0
OTU_942 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 4 0 1 1 0 0 0 0
OTU_944 0 0 0 0 0 0 0 0 0 0 0 5 1 3 2 11 2 5 2 0 0 0 0
OTU_948 1 0 0 0 1 0 0 0 0 0 0 1 0 2 3 0 0 0 0 0 2 1 0
OTU_950 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 0
OTU_951 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 1 0 0 0
OTU_954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 8 0 0 0 0
OTU_958 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 4 0 0 0 0
OTU_959 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0
OTU_960 0 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_961 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_968 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_969 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1
