OTUnumber	SAMPLE.837.MF.II.7.30	SAMPLE.733.GP.7.30	SAMPLE.881.MF.II.5.90	SAMPLE.741.GF.II.7.30	SAMPLE.771.GA6.90	SAMPLE.709.GP.7.15	SAMPLE.705.GP.5.15	SAMPLE.861.MF.II.7.60	SAMPLE.777.GP.5.90	SAMPLE.729.GP.5.30	SAMPLE.757.GP.7.60	SAMPLE.793.MA5.15	SAMPLE.727.GA8.30	SAMPLE.711.GP.8.15	SAMPLE.699.GA6.15	SAMPLE.799.MA8.15	SAMPLE.783.GP.8.90	SAMPLE.721.GA5.30	SAMPLE.745.GA5.60	SAMPLE.779.GP.6.90	SAMPLE.873.MP.5.90	SAMPLE.781.GP.7.90	SAMPLE.827.MP.6.30	SAMPLE.879.MP.8.90	SAMPLE.877.MP.7.90	SAMPLE.801.MP.5.15	SAMPLE.743.GF.II.8.30	SAMPLE.875.MP.6.90	SAMPLE.795.MA6.15	SAMPLE.811.MF.II6.15	SAMPLE.851.MP.6.60	SAMPLE.725.GA7.30	SAMPLE.891.ITS.negative	SAMPLE.803.MP.6.15	SAMPLE.863.MF.II.8.60	SAMPLE.805.MP.7.15	SAMPLE.739.GF.II6.30	SAMPLE.833.MF.II.5.30	SAMPLE.821.MA7.30	SAMPLE.717.GF.II.7.15	SAMPLE.839.MF.II.8.30	SAMPLE.763.GF.II6.60	SAMPLE.759.GP.8.60	SAMPLE.747.GA6.60	SAMPLE.735.GP.8.30	SAMPLE.831.MP.8.30	SAMPLE.817.MA5.30	SAMPLE.849.MP.5.60	SAMPLE.857.MF.II.5.60	SAMPLE.769.GA5.90	SAMPLE.723.GA6.30	SAMPLE.761.GF.II.5.60	SAMPLE.825.MP.5.30	SAMPLE.703.GA8.15	SAMPLE.773.GA7.90	SAMPLE.767.GF.II.8.60	SAMPLE.697.GA5.15	SAMPLE.841.MA5.60	SAMPLE.755.GP.6.60	SAMPLE.731.GP.6.30	SAMPLE.869.MA7.90	SAMPLE.819.MA6.30	SAMPLE.835.MF.II6.30	SAMPLE.753.GP.5.60	SAMPLE.785.GF.II.5.90	SAMPLE.829.MP.7.30	SAMPLE.815.MF.II.8.15	SAMPLE.707.GP.6.15	SAMPLE.865.MA5.90	SAMPLE.853.MP.7.60	SAMPLE.885.MF.II.7.90	SAMPLE.823.MA8.30	SAMPLE.813.MF.II.7.15	SAMPLE.751.GA8.60	SAMPLE.867.MA6.90	SAMPLE.807.MP.8.15	SAMPLE.797.MA7.15	SAMPLE.737.GF.II.5.30	SAMPLE.719.GF.II.8.15	SAMPLE.871.MA8.90	SAMPLE.713.GF.II.5.15	SAMPLE.847.MA8.60	SAMPLE.765.GF.II.7.60	SAMPLE.809.MF.II.5.15	SAMPLE.845.MA7.60	SAMPLE.887.MF.II.8.90	SAMPLE.859.MF.II6.60	SAMPLE.787.GF.II6.90	SAMPLE.715.GF.II6.15	SAMPLE.855.MP.8.60	SAMPLE.749.GA7.60	SAMPLE.791.GF.II.8.90	SAMPLE.883.MF.II6.90	SAMPLE.775.GA8.90	SAMPLE.843.MA6.60	SAMPLE.789.GF.II.7.90	SAMPLE.701.GA7.15	domain_id	domain_conf	kingdom_id	kingdom_conf	phylum_id	phylum_conf	class_id	class_conf	order_id	order_conf	family_id	family_conf	genus_id	genus_conf
OTU_2269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2270	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Ascomycota	100.0	Sordariomycetes	100.0	Hypocreales	100.0	Hypocreaceae	100.0	Hypocrea_/_Trichoderma	99.0
OTU_2272	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2273	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Ascomycota	65.0	Ascomycota_unclassified	65.0	Ascomycota_unclassified	65.0	Ascomycota_unclassified	65.0	Ascomycota_unclassified	65.0
OTU_2275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Zygomycota	82.0	Mucoromycotina_Incertae_sedis	77.0	Mortierellales	67.0	Mortierellaceae	67.0	Mortierella	67.0
OTU_2276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Ascomycota	78.0	Ascomycota_unclassified	78.0	Ascomycota_unclassified	78.0	Ascomycota_unclassified	78.0	Ascomycota_unclassified	78.0
OTU_2279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Zygomycota	70.0	Mucoromycotina_Incertae_sedis	69.0	Mortierellales	66.0	Mortierellaceae	66.0	Mortierella	66.0
OTU_2281	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
OTU_2282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Ascomycota	79.0	Ascomycota_unclassified	79.0	Ascomycota_unclassified	79.0	Ascomycota_unclassified	79.0	Ascomycota_unclassified	79.0
OTU_2283	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Basidiomycota	100.0	Agaricomycetes	100.0	Thelephorales	100.0	Thelephoraceae	100.0	Tomentella	92.0
OTU_2284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	100.0	Fungi	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0	Fungi_unclassified	100.0
